mode,node,layer,head,arrival_time,energy
Clean,PAY,,,0.0,1.0
Clean,HEAD,1,1,0.9436072797353322,0.10253221866303228
Clean,HEAD,1,2,0.9739034556551027,0.04744826244526774
Clean,HEAD,1,3,inf,0.0
Clean,HEAD,1,4,inf,0.0
Clean,HEAD,1,5,inf,0.0
Clean,HEAD,1,6,inf,0.0
Clean,HEAD,2,1,1.8974244135147011,0.0839688476738749
Clean,HEAD,2,2,inf,0.0
Clean,HEAD,2,3,inf,0.0
Clean,HEAD,2,4,inf,0.0
Clean,HEAD,2,5,inf,0.0
Clean,HEAD,2,6,inf,0.0
Clean,HEAD,3,1,1.8781085990381774,0.11908851035846352
Clean,HEAD,3,2,inf,0.0
Clean,HEAD,3,3,inf,0.0
Clean,HEAD,3,4,inf,0.0
Clean,HEAD,3,5,1.7957181122302572,0.3239733516815371
Clean,HEAD,3,6,inf,0.0
Clean,HEAD,4,1,2.822493089637365,0.1011191080014775
Clean,HEAD,4,2,inf,0.0
Clean,HEAD,4,3,inf,0.0
Clean,HEAD,4,4,inf,0.0
Clean,HEAD,4,5,inf,0.0
Clean,HEAD,4,6,inf,0.0
Clean,HEAD,5,1,3.715898593206916,0.19380817532808825
Clean,HEAD,5,2,2.75532855656928,0.2232364408525405
Clean,HEAD,5,3,2.6885449416679426,0.19486031011329935
Clean,HEAD,5,4,inf,0.0
Clean,HEAD,5,5,inf,0.0
Clean,HEAD,5,6,inf,0.0
Clean,HEAD,6,1,4.621568231834471,0.17150974794990134
Clean,HEAD,6,2,inf,0.0
Clean,HEAD,6,3,inf,0.0
Clean,HEAD,6,4,inf,0.0
Clean,HEAD,6,5,inf,0.0
Clean,HEAD,6,6,inf,0.0
Clean,HEAD,7,1,5.547916295424282,0.1339126116548883
Clean,HEAD,7,2,inf,0.0
Clean,HEAD,7,3,inf,0.0
Clean,HEAD,7,4,3.511650878926456,0.3216255686208847
Clean,HEAD,7,5,3.6756521310312866,0.14486622825089687
Clean,HEAD,7,6,inf,0.0
Clean,HEAD,8,1,6.491118153436735,0.10326934906826807
Clean,HEAD,8,2,inf,0.0
Clean,HEAD,8,3,inf,0.0
